"","Player","GamesPlayed","Goals","Assists","Points","PointShare","Shots","ShootPerc","FirstYear","LastYear"
"1150","Gemel Smith",195,56,82,137,15.8,428,13.9666666666667,2017,2019
"1151","Geoff Courtnall",75,21,31,52,6,180,12.7,1999,2000
"1152","Geoff Kinrade",25,1,2,3,0.5,22,4.1,2009,2009
"1153","Geoff Platt",175,56,62,119,13.2,388,14.1666666666667,2006,2008
"1154","Geoff Sanderson",671,179,180,358,39.1,1581,11.2,1999,2008
"1155","Geoff Smith",76,4,10,15,3.6,69,5.6,1999,1999
"1156","Geordie Kinnear",52,1,5,6,0.5,31,2.5,2000,2000
"1157","George Parros",474,18,18,36,0.3,214,7.24444444444444,2006,2014
"1158","Georges Laraque",752,55,107,162,11.1,541,13.475,1999,2010
"1159","Gerald Diduck",124,9,20,29,7.3,156,3.16666666666667,1999,2001
"1160","German Titov",279,50,99,149,12.9,376,13.925,1999,2002
"1161","Gilbert Brule",424,58,70,129,10,595,9.1,2006,2014
"1162","Gino Odjick",148,18,21,39,3.5,215,9.4,1999,2002
"1163","Giovanni Fiore",34,9,7,15,1.7,73,11.7,2018,2018
"1164","Glen Metropolit",474,76,130,206,18.7,775,9.0875,2000,2010
"1165","Glen Murray",716,274,263,537,64.4,2065,13.17,1999,2008
"1166","Glen Wesley",729,34,119,153,39,790,4.16,1999,2008
"1167","Goran Bezina",77,6,19,25,5.7,99,5.9,2004,2004
"1168","Gord Murphy",158,4,29,33,4.7,183,2.05,1999,2002
"1169","Gordie Dwyer",175,17,20,38,2.9,142,2.76,2000,2004
"1170","Graham Mink",152,20,22,40,2.4,193,12.8666666666667,2004,2009
"1171","Grant Clitsome",219,15,61,76,12.7,285,4.6,2010,2015
"1172","Grant Ledyard",162,9,18,27,5.9,135,6.875,1999,2002
"1173","Grant Lewis",82,9,23,32,5.7,168,5.3,2009,2009
"1174","Grant Marshall",578,91,146,237,21.2,895,9.8875,1999,2006
"1175","Grant McNeill",38,1,5,6,0.9,25,3.8,2004,2004
"1176","Grant Stevenson",47,10,12,22,1.9,67,14.9,2006,2006
"1177","Greg Adams",204,49,63,112,10.7,371,14.0666666666667,1999,2001
"1178","Greg Andrusak",106,6,18,24,4.9,91,6.35,1999,2000
"1179","Greg Classen",164,47,60,106,11.7,353,13.4666666666667,2001,2003
"1180","Greg Crozier",78,37,75,112,13.3,203,23.3,2001,2001
"1181","Greg de Vries",827,42,150,192,41.4,889,4.5,1999,2009
"1182","Greg Hawgood",147,7,28,35,7.2,130,4.6,2000,2002
"1183","Greg Jacina",149,16,29,44,2.9,200,7.85,2006,2007
"1184","Greg Johnson",584,113,171,283,22.3,887,13.075,1999,2006
"1185","Greg Koehler",62,7,7,14,0.7,66,9.9,2001,2001
"1186","Greg Kuznik",60,2,14,15,2.7,80,2.3,2001,2001
"1187","Greg Leeb",78,2,13,16,0.3,79,2.7,2001,2001
"1188","Greg Mauldin",141,11,21,31,2.4,163,7.26666666666667,2004,2011
